,Time,Session,Volume,Price Entry,B/S,Profit
148,2023-04-24 00:50:00-04:00,Overnight Session,77,13046.5,Sell,225
149,2023-04-24 02:35:00-04:00,Overnight Session,515,13035.25,Buy,-340
150,2023-04-24 03:15:00-04:00,Overnight Session,685,13018.25,Sell,-380
151,2023-04-24 03:20:00-04:00,Overnight Session,740,13037.25,Buy,-85
152,2023-04-24 04:30:00-04:00,Overnight Session,419,13033,Sell,-210
153,2023-04-24 05:05:00-04:00,Overnight Session,434,13043.5,Buy,400
154,2023-04-24 06:20:00-04:00,Overnight Session,647,13063.5,Sell,-335
155,2023-04-24 07:00:00-04:00,Overnight Session,1194,13080.25,Buy,-35
156,2023-04-24 07:45:00-04:00,Overnight Session,691,13078.5,Sell,-395
157,2023-04-24 08:50:00-04:00,Pre-Market,1390,13098.25,Buy,-350
158,2023-04-24 09:15:00-04:00,Pre-Market,1013,13080.75,Sell,-550
159,2023-04-24 09:35:00-04:00,RTH Session,15018,13108.25,Buy,-595
160,2023-04-24 10:05:00-04:00,RTH Session,9474,13078.5,Sell,1745
161,2023-04-24 12:15:00-04:00,RTH Lunch,5546,12991.25,Buy,900
162,2023-04-24 14:40:00-04:00,RTH Lunch,2679,13036.25,Sell,-295
163,2023-04-24 15:00:00-04:00,RTH Power Hour,4752,13051,Buy,-105
164,2023-04-24 15:20:00-04:00,RTH Power Hour,4192,13045.75,Sell,-395
165,2023-04-24 16:20:00-04:00,After-Session,584,13065.5,Buy,-205
166,2023-04-24 16:30:00-04:00,After-Session,688,13055.25,Sell,-10
167,2023-04-24 19:30:00-04:00,Asia Session,382,13055.75,Buy,-125
168,2023-04-24 20:15:00-04:00,Asia Session,248,13049.5,Sell,75
169,2023-04-24 21:20:00-04:00,Asia Session,136,13045.75,Buy,-100
170,2023-04-24 21:35:00-04:00,Asia Session,315,13040.75,Sell,345
171,2023-04-24 23:10:00-04:00,Overnight Session,280,13023.5,Buy,-210
172,2023-04-24 23:50:00-04:00,Overnight Session,475,13013,Sell,60
173,2023-04-25 00:40:00-04:00,Overnight Session,313,13010,Buy,-110
174,2023-04-25 03:00:00-04:00,Overnight Session,1803,13004.5,Sell,85
175,2023-04-25 04:40:00-04:00,Overnight Session,1439,13000.25,Buy,-95
176,2023-04-25 06:30:00-04:00,Overnight Session,692,12995.5,Sell,-100
177,2023-04-25 06:35:00-04:00,Overnight Session,485,13000.5,Buy,-45
178,2023-04-25 07:40:00-04:00,Overnight Session,626,12998.25,Sell,-215
179,2023-04-25 08:20:00-04:00,Pre-Market,602,13009,Buy,-115
180,2023-04-25 08:30:00-04:00,Pre-Market,1003,13003.25,Sell,-185
181,2023-04-25 09:40:00-04:00,RTH Session,10490,13012.5,Buy,-685
182,2023-04-25 09:45:00-04:00,RTH Session,17555,12978.25,Sell,375
183,2023-04-25 11:05:00-04:00,RTH Lunch,8651,12959.5,Buy,-490
184,2023-04-25 11:40:00-04:00,RTH Lunch,8011,12935,Sell,575
185,2023-04-25 12:55:00-04:00,RTH Lunch,4880,12906.25,Buy,-670
186,2023-04-25 13:20:00-04:00,RTH Lunch,7777,12872.75,Sell,395
187,2023-04-25 14:30:00-04:00,RTH Lunch,4552,12853,Buy,-595
188,2023-04-25 15:45:00-04:00,RTH Power Hour,5882,12823.25,Sell,-2080
189,2023-04-25 16:00:00-04:00,After-Session,28974,12927.25,Buy,775
190,2023-04-25 18:55:00-04:00,Asia Session,463,12966,Sell,-265
191,2023-04-25 20:40:00-04:00,Asia Session,479,12979.25,Buy,100
192,2023-04-25 21:20:00-04:00,Asia Session,387,12984.25,Sell,-160
193,2023-04-25 23:00:00-04:00,Overnight Session,322,12992.25,Buy,-145
194,2023-04-25 23:10:00-04:00,Overnight Session,348,12985,Sell,160
195,2023-04-26 01:00:00-04:00,Overnight Session,370,12977,Buy,-115
196,2023-04-26 02:15:00-04:00,Overnight Session,579,12971.25,Sell,230
197,2023-04-26 04:20:00-04:00,Overnight Session,534,12959.75,Buy,75
198,2023-04-26 05:35:00-04:00,Overnight Session,290,12963.5,Sell,-175
199,2023-04-26 05:40:00-04:00,Overnight Session,588,12972.25,Buy,-215
200,2023-04-26 05:50:00-04:00,Overnight Session,1013,12961.5,Sell,-185
201,2023-04-26 05:55:00-04:00,Overnight Session,512,12970.75,Buy,-215
202,2023-04-26 06:10:00-04:00,Overnight Session,582,12960,Sell,1085
203,2023-04-26 08:05:00-04:00,Pre-Market,965,12905.75,Buy,160
204,2023-04-26 09:30:00-04:00,RTH Session,22258,12913.75,Sell,-945
205,2023-04-26 09:55:00-04:00,RTH Session,10533,12961,Buy,-1095
206,2023-04-26 10:15:00-04:00,RTH Session,12019,12906.25,Sell,-685
207,2023-04-26 10:50:00-04:00,RTH Session,9699,12940.5,Buy,1030
208,2023-04-26 12:25:00-04:00,RTH Lunch,3295,12992,Sell,2025
209,2023-04-26 15:25:00-04:00,RTH Power Hour,4497,12890.75,Buy,1300
210,2023-04-26 18:25:00-04:00,Asia Session,113,12955.75,Sell,210
211,2023-04-26 21:40:00-04:00,Asia Session,180,12945.25,Buy,160
212,2023-04-26 23:10:00-04:00,Overnight Session,238,12953.25,Sell,-175
213,2023-04-27 00:15:00-04:00,Overnight Session,388,12962,Buy,40
214,2023-04-27 01:15:00-04:00,Overnight Session,117,12964,Sell,-220
215,2023-04-27 01:30:00-04:00,Overnight Session,560,12975,Buy,140
216,2023-04-27 02:30:00-04:00,Overnight Session,255,12982,Sell,-185
217,2023-04-27 03:00:00-04:00,Overnight Session,941,12991.25,Buy,-40
218,2023-04-27 03:05:00-04:00,Overnight Session,990,12989.25,Sell,-190
